artist_name,genre,total_artist_weighted_acousticness,total_artist_weighted_danceability,total_artist_weighted_energy,total_artist_weighted_instrumentalness,total_artist_weighted_liveness,total_artist_weighted_speechiness,total_artist_weighted_valence
Jason Mraz,pop,0.47306487056499197,0.5594317635168419,0.5130939608836101,0.0035990274345964984,0.43138394443337014,0.08038565911238857,0.45153063082391603
Jessica Simpson,pop,0.1482828639828035,0.621735806441412,0.7258157935411365,0.11927159304983397,0.17566335395204427,0.05317411714028699,0.5218828505686073
Jessie J,pop,0.19864461023399643,0.6412533907281789,0.6958736023926526,0.04509757474870872,0.19391471279923062,0.10594425070179454,0.5272056534648999
Jewel,pop,0.3816082611449621,0.5634142602221226,0.5155274627175029,0.09432469617467412,0.17552355920270776,0.0459225181842671,0.42708871998179493
John Mayer,pop,0.3130035012098747,0.5207720510177454,0.5769538822318722,0.04385487752383926,0.5085372283564215,0.03776642719385948,0.4564182326823118
Jojo,pop,0.3368925288439543,0.6222252223336534,0.6745670844079782,0.24718334680529436,0.20203167847724882,0.05745070380851146,0.5219146953439356
Kylie Minogue,pop,0.16122953111428576,0.5711203916576424,0.7471432242976255,0.12285121042358012,0.43801969415476133,0.05665949766080151,0.47358851850573014
Lana Del Rey,pop,0.4599707228573153,0.395774038937599,0.5204563504209201,0.034979164270010354,0.1786884576525364,0.04810319959553282,0.21709443421804253
Lindsay Lohan,pop,0.0222841674962598,0.5919001454545993,0.8479718868376567,0.033207208513976176,0.19445485133738863,0.04721178364722402,0.5807995475405117
Miley Cyrus,pop,0.1356022535356946,0.5482233481328698,0.6897875141894192,0.057151891999336756,0.2435234602316499,0.05601371705432561,0.43151585012597593
One Direction,pop,0.11665244854979565,0.5804994832781211,0.7566873599977008,0.005337793578828032,0.2301021205861886,0.05065309974171303,0.49498753143534074
Paris Hilton,pop,0.012862751362173339,0.6935627158098889,0.7924260595891154,0.2657725437182509,0.1329664938934961,0.056871011939352956,0.7124664918709259
Phillip Phillips,pop,0.2035069018366757,0.4745098849117793,0.7264089410082885,0.00037674312779558414,0.24159658381422752,0.05428755929227261,0.40715796869209675
The Pussycat Dolls,pop,0.09503528224626205,0.7157666112329295,0.7290425383889103,0.06598433773528455,0.2338596923742953,0.07965462024773722,0.5935209181354921
Rihanna,pop,0.11424630167027457,0.6288087056160467,0.7178569446208242,0.025310491026187095,0.18520810613956448,0.08079276714521412,0.515162765601266
Roxette,pop,0.151884158858752,0.5428547721173961,0.715955039205953,0.01789277613639557,0.29207588259377504,0.0387378943459856,0.5126388376221978
The Script,pop,0.1688806867857619,0.5253097353993814,0.7342471705210187,0.0022585297692938144,0.2710671419399695,0.0832630641703563,0.4707372668230095
Shawn Mendes,pop,0.34904886894495674,0.5404106123067485,0.5613392341087409,4.782958372989671e-06,0.3107096187375733,0.078484486034523,0.4269669821923962
Spice Girls,pop,0.10058706504840449,0.6836709364303551,0.7821076123364492,0.19064393243233488,0.22621177902173328,0.048069344376928703,0.6688491680309849
$uicideBoy$,rap,0.1445972617282672,0.7535545974877638,0.6358677744866614,0.030871099823674794,0.21367711112849114,0.14118797616823756,0.3224567666101248
03 Greedo,rap,0.1682178907630326,0.7108078166333995,0.5559949468941893,0.00430407035223684,0.17259856417923744,0.17716506962152945,0.4262328308902828
2 Chainz,rap,0.1462748637661945,0.7217435144555892,0.6625369946574752,0.004680146684620607,0.23175219174713554,0.21269381325112163,0.4485103284782673
21 Savage,rap,0.10676018881403646,0.8329552829954512,0.528795392185707,0.04283455331739851,0.18324901504650887,0.26564308334547493,0.33764012404541716
2Pac,rap,0.1331129664655932,0.7340397796950376,0.7368487484667323,0.005365724105530644,0.2695219642294607,0.24169131033628666,0.6030196744736475
50 Cent,rap,0.12108240113552098,0.6652107816336539,0.7434077942616776,0.004133524405242617,0.18525537001154035,0.2975891065604914,0.6028703609586871
6ix9ine,rap,0.11742131611462303,0.7328239460856381,0.7448939856124326,7.008630369951988e-07,0.2050604155610205,0.20711091741023785,0.5230991177396193
8Ball & MJG,rap,0.09647726711940538,0.8049049786430239,0.6555083865195305,0.03794738011238252,0.23620476393637033,0.23616282689966034,0.5717633285990913
ILOVEMAKONNEN,rap,0.1860920492042235,0.752183163970718,0.6336635699686051,0.0036251651883366354,0.19373276746751147,0.1052683747423784,0.2962983269598387
A Boogie Wit da Hoodie,rap,0.28412684750367145,0.7231766622559268,0.6073662298530256,4.6362154997418714e-06,0.12162608502537013,0.24615405215031932,0.4663603888134273
A Tribe Called Quest,rap,0.1513029152020686,0.8235409421916556,0.5466250157890025,0.04641792792476891,0.18950768750810465,0.2607573334486134,0.6865660724194187
A$AP ANT,rap,0.2576294178459714,0.810654207217521,0.5456953642264593,0.0013623265730566439,0.18264658333066106,0.25597633035052286,0.42305637855969125
A$AP Ferg,rap,0.17079944003907988,0.7129302335945659,0.7307373938729456,0.00020330907497396387,0.25510832954687096,0.18742323264917884,0.3855074138931668
A$AP Rocky,rap,0.274485927206669,0.6148089402112189,0.6247196334797264,0.04090059910693268,0.2578328034828013,0.222117299787702,0.3841280151058702
Ab-Soul,rap,0.22873894853267876,0.5830840159915455,0.6697469572383146,2.3507091693840438e-05,0.29863340280151834,0.322659754274274,0.4148428822028891
Action Bronson,rap,0.3040805225223076,0.5375574550697095,0.7467077362156912,0.0048350385058002834,0.24742801745783338,0.30649412809486737,0.5448000395684297
Akon,rap,0.15809243561761796,0.688282798866473,0.6854548837900494,0.0011117813051439278,0.23940239558062176,0.1333685269670169,0.5335638010153091
Aminé,rap,0.3442845561005856,0.7253950818476285,0.46932089729740634,0.00047897859628833774,0.19803341456401996,0.259886836108408,0.5946413025933291
Anderson .Paak,rap,0.12832660663152068,0.6658414595679873,0.7069060419570249,0.011538411839228564,0.28698898912090626,0.18751750752810667,0.5467529326691956
B.o.B,rap,0.1755823833233566,0.6601214476779823,0.6315256801054968,0.0010660528721165427,0.21614129044688107,0.19781033020801403,0.4794157369032947
BJ The Chicago Kid,rap,0.3856486964784636,0.5079187424507738,0.5772551530063723,0.012088460945525589,0.2914264157491524,0.125592957101618,0.4150543765078833
BONES,rap,0.3609673008085621,0.6459248975001631,0.4517953361564916,0.1927249233365758,0.15607976469516524,0.08656218502134759,0.2507471318268525
BROCKHAMPTON,rap,0.28125040152080494,0.6416352940315039,0.5953111150078754,0.01082239356698923,0.24134272499675027,0.17811239106400636,0.4526362374351364
Beanie Sigel,rap,0.07625352979390794,0.6831062210196343,0.775451710809461,0.00017627495421463504,0.18890124113216827,0.29696640807921865,0.5379580693456253
Big Boi,rap,0.13739022415584062,0.708860492173567,0.707349522885502,0.014911190425800655,0.31212274985557265,0.23876116650375634,0.5144598608951431
Big K.R.I.T.,rap,0.20818409133463447,0.6858708107792417,0.709104051046989,0.0054027417740814465,0.20860593165947725,0.17699754935765766,0.4339589400678413
Big Pun,rap,0.16139336045229807,0.694022648164644,0.7378625767627347,0.07146708504180571,0.21093231241482344,0.3139535652700693,0.5859573063306256
Big Sean,rap,0.18376504217753045,0.6037062610477799,0.7140255031777953,0.0005968881126354564,0.2738756890940171,0.1958935805461106,0.40295271975537544
Birdman,rap,0.11415745285890662,0.6962733068188054,0.6922521537323907,0.0009465771372735997,0.2179193191749615,0.19991644977650228,0.5470357044685663
Black Thought,rap,0.10744348335153353,0.6503990581794163,0.7762214861082346,0.03065622018487902,0.23962541032798004,0.3486146133597236,0.5859068067924362
Bladee,rap,0.4658374838438346,0.6062052789334041,0.532736532221944,0.041300788744913663,0.16146218353453343,0.06834299408544273,0.30428440837343773
BlocBoy JB,rap,0.12770025370850785,0.8233287481165643,0.6001417520666048,2.167415354431101e-05,0.22666837857580277,0.29228121973055543,0.4946640519584941
Boosie Badazz,rap,0.10627080100065331,0.7309591196574257,0.6565703277915773,0.0006130771294595833,0.21732543092477447,0.25758142097097175,0.5259977718015406
Bow Wow,rap,0.1303895296822693,0.7674514487231692,0.6988640884681538,0.03286327612071861,0.22884918788630276,0.2645554089138372,0.6858669662890019
Bun B,rap,0.07816873213677382,0.6843598773057192,0.6810021701172005,0.006764310127534363,0.3401437169734263,0.2893272737641474,0.5304728324485712
Busta Rhymes,rap,0.09677721873020581,0.694193872757772,0.7214061954437128,0.007345942669324788,0.23664416506293165,0.3286277319147379,0.6126007611077379
Cam’ron,rap,0.1455986335611777,0.6203965429647114,0.7321749314124077,0.0018872344360041972,0.22369872661219112,0.29957106782855825,0.6026882503865724
Cardi B,rap,0.18749670156763212,0.7764299607434516,0.6043815381091343,0.009160285576848113,0.17741229531219824,0.2684323997940304,0.4311237178053742
Casey Veggies,rap,0.20189621217145115,0.5893285834629212,0.7146492993369502,0.0004720166566413528,0.2547602152133236,0.26391011232194406,0.511086021340644
CeeLo Green,rap,0.1266506145626423,0.6113868925072726,0.7017316906328979,0.005917194000005731,0.22152137592245508,0.10018181492700932,0.5578142295227713
